temperature,pression,puissance,vibration,presence,magnetique,infrarouge,type_moteur,panne,anomalie,scenario,rul
303.35,0.027595099935525464,66382.79999999999,1.551,1.0,0.6,308.6,EL_M,0,0,NORMAL,253.0
303.45,0.032883522727272727,65190.399999999994,1.408,1.0,0.3,308.7,EL_S,0,0,NORMAL,250.0
303.3,0.032977303070761015,74001.2,1.498,1.0,0.3,308.5,EL_S,0,0,NORMAL,248.0
303.4,0.027564549895324496,56603.5,1.433,1.0,0.3,308.6,EL_S,0,0,NORMAL,246.0
303.45,0.028409090909090908,56320.0,1.408,1.0,0.3,308.7,EL_S,0,0,NORMAL,244.0
303.35,0.029403508771929824,59707.5,1.425,1.0,0.6,308.6,EL_M,0,0,NORMAL,242.0
303.35,0.027214377406931962,66059.2,1.558,1.0,0.3,308.6,EL_S,0,0,NORMAL,239.0
303.35,0.02632612966601179,61385.4,1.527,1.0,0.3,308.6,EL_S,0,0,NORMAL,237.0
303.5,0.01715656868626275,47676.200000000004,1.667,1.0,0.6,308.7,EL_M,0,0,NORMAL,235.0
303.75,0.016082711085583,48748.0,1.741,1.0,0.6,309.0,EL_M,0,0,NORMAL,232.0
303.65,0.013411896745230079,42589.799999999996,1.782,1.0,0.9,308.9,EL_L,0,0,NORMAL,229.0
303.85,0.031131412508784255,63038.899999999994,1.423,1.0,0.9,309.1,EL_L,0,0,NORMAL,224.0
303.85,0.038162808065720685,68422.90000000001,1.339,1.0,0.6,309.1,EL_M,0,0,NORMAL,219.0
303.9,0.01722158438576349,52260.0,1.742,1.0,0.6,309.2,EL_M,0,0,NORMAL,216.0
303.9,0.009631449631449632,39886.0,2.035,1.0,0.3,309.2,EL_S,0,0,NORMAL,213.0
303.9,0.03138780804150454,74632.8,1.542,1.0,0.3,309.2,EL_S,0,0,NORMAL,211.0
303.9,0.03554538520213577,61092.6,1.311,1.0,0.6,309.2,EL_M,0,0,NORMAL,209.0
303.95,0.03234042553191489,64296.0,1.41,1.0,0.6,309.2,EL_M,0,0,NORMAL,206.0
304.0,0.041730474732006126,71177.0,1.306,1.0,0.9,309.2,EL_L,0,0,NORMAL,203.0
304.1,0.01991421568627451,53040.0,1.632,1.0,0.6,309.3,EL_M,0,0,NORMAL,198.0
304.1,0.031054545454545456,58712.50000000001,1.375,1.0,0.9,309.3,EL_L,0,0,NORMAL,195.0
304.05,0.030896551724137928,64959.99999999999,1.45,1.0,0.3,309.3,EL_S,0,0,NORMAL,190.0
304.1,0.01941808981657179,48536.7,1.581,1.0,0.6,309.3,EL_M,0,0,NORMAL,188.0
304.2,0.014618885096700797,45180.6,1.758,1.0,0.3,309.4,EL_S,0,0,NORMAL,185.0
304.2,0.02389493914157591,58225.299999999996,1.561,1.0,0.6,309.4,EL_M,0,0,NORMAL,183.0
304.25,0.012520150456743687,43361.3,1.861,1.0,0.3,309.5,EL_S,0,0,NORMAL,180.0
304.3,0.025793650793650792,58968.0,1.512,1.0,0.3,309.5,EL_S,0,0,NORMAL,178.0
304.25,0.013583655438983988,44550.600000000006,1.811,1.0,0.9,309.4,EL_L,0,0,NORMAL,176.0
304.25,0.03071577484364142,63603.8,1.439,1.0,0.3,309.4,EL_S,0,0,NORMAL,171.0
304.2,0.0177790903721205,50959.3,1.693,1.0,0.3,309.4,EL_S,0,0,NORMAL,169.0
304.3,0.03599701269604182,64539.8,1.339,1.0,0.6,309.5,EL_M,0,0,NORMAL,167.0
304.2,0.01418242491657397,45849.0,1.798,1.0,0.3,309.4,EL_S,0,0,NORMAL,164.0
304.2,0.034038054968287525,68537.7,1.419,1.0,0.3,309.4,EL_S,0,0,NORMAL,162.0
304.1,0.01951951951951952,54112.5,1.665,1.0,0.3,309.3,EL_S,0,0,NORMAL,160.0
303.95000000000005,0.0222578576010263,54097.3,1.559,1.0,0.6,309.1,EL_M,0,0,NORMAL,158.0
304.0,0.03347107438016529,70567.2,1.452,1.0,0.6,309.2,EL_M,0,0,NORMAL,155.0
304.04999999999995,0.023213156230234032,58022.700000000004,1.581,1.0,0.6,309.2,EL_M,0,0,NORMAL,152.0
303.95000000000005,0.02724113968033357,56408.8,1.439,1.0,0.3,309.1,EL_S,0,0,NORMAL,149.0
304.04999999999995,0.03676577229876722,69915.3,1.379,1.0,0.9,309.2,EL_L,0,0,NORMAL,147.0
303.95000000000005,0.03888888888888889,70875.0,1.35,1.0,0.3,309.1,EL_S,0,0,NORMAL,142.0
303.95000000000005,0.03333333333333333,61834.799999999996,1.362,1.0,0.3,309.1,EL_S,0,0,NORMAL,140.0
303.95000000000005,0.0371345029239766,69494.4,1.368,1.0,0.3,309.1,EL_S,0,0,NORMAL,138.0
303.95000000000005,0.03589181286549708,67168.8,1.368,1.0,0.6,309.1,EL_M,0,0,NORMAL,136.0
304.0,0.03534985422740525,66542.0,1.372,1.0,0.9,309.2,EL_L,0,0,NORMAL,133.0
303.95000000000005,0.03226902173913043,69920.0,1.472,1.0,0.6,309.1,EL_M,0,0,NORMAL,128.0
303.95000000000005,0.03297515110812626,73109.90000000001,1.489,1.0,0.3,309.1,EL_S,0,0,NORMAL,125.0
303.85,0.01399891481280521,47549.4,1.843,1.0,0.6,309.0,EL_M,0,0,NORMAL,123.0
303.95000000000005,0.032651622002820874,65653.4,1.418,1.0,0.3,309.1,EL_S,0,0,NORMAL,120.0
304.0,0.03782456140350877,76807.5,1.425,1.0,0.9,309.2,EL_L,0,0,NORMAL,118.0
304.04999999999995,0.03123229461756374,62269.200000000004,1.412,1.0,0.6,309.2,EL_M,0,0,NORMAL,113.0
304.0,0.0016078294302691366,13160.599999999999,2.861,1.0,0.3,309.1,EL_S,1,1,SURCHARGE,110.0
304.0,0.03969631236442516,75926.7,1.383,1.0,0.3,309.1,EL_S,0,0,NORMAL,108.0
303.9,0.029258517034068135,65568.59999999999,1.497,1.0,0.9,309.0,EL_L,0,0,NORMAL,106.0
303.85,0.022428115015974442,54931.5,1.565,1.0,0.3,309.0,EL_S,0,0,NORMAL,101.0
303.85,0.017800118273211117,50899.100000000006,1.691,1.0,0.3,309.0,EL_S,0,0,NORMAL,99.0
303.95000000000005,0.02691798941798942,61538.4,1.512,1.0,0.3,309.1,EL_S,0,0,NORMAL,97.0
303.95000000000005,0.02870683818551117,62624.799999999996,1.477,1.0,0.3,309.1,EL_S,0,0,NORMAL,95.0
303.95000000000005,0.02663582286847323,60973.899999999994,1.513,1.0,0.3,309.1,EL_S,0,0,NORMAL,93.0
303.9,0.017760385310054184,48999.5,1.661,1.0,0.6,309.0,EL_M,0,0,NORMAL,91.0
303.95000000000005,0.03947750362844702,74963.2,1.378,1.0,0.3,309.1,EL_S,0,0,NORMAL,88.0
303.95000000000005,0.037760229720028717,73271.8,1.393,1.0,0.3,309.1,EL_S,0,0,NORMAL,86.0
303.9,0.023994974874371862,60814.4,1.592,1.0,0.6,309.0,EL_M,0,0,NORMAL,84.0
303.9,0.012520503007107709,41884.1,1.829,1.0,0.3,309.0,EL_S,0,0,NORMAL,81.0
303.95,0.014293598233995584,46930.799999999996,1.812,1.0,0.6,309.0,EL_M,0,0,NORMAL,79.0
304.05,0.02534471437951412,58787.8,1.523,1.0,0.3,309.1,EL_S,0,0,NORMAL,76.0
304.05,0.03235294117647059,62869.4,1.394,1.0,0.3,309.1,EL_S,0,0,NORMAL,74.0
303.9,0.017093508040500298,48187.299999999996,1.679,1.0,0.6,308.9,EL_M,0,0,NORMAL,72.0
303.85,0.030081855388813097,64650.6,1.466,1.0,0.9,308.9,EL_L,0,0,NORMAL,69.0
303.85,0.021218074656188603,49474.799999999996,1.527,1.0,0.3,308.9,EL_S,0,0,NORMAL,64.0
303.95,0.046595744680851064,92637.0,1.41,1.0,0.3,309.0,EL_S,1,1,SURCHARGE,62.0
303.95,0.011746361746361747,43482.4,1.924,1.0,0.6,309.0,EL_M,0,0,NORMAL,60.0
304.0,0.03133608815426997,66066.0,1.452,1.0,0.3,309.1,EL_S,0,0,NORMAL,57.0
304.0,0.032432432432432434,60783.6,1.369,1.0,0.3,309.1,EL_S,0,0,NORMAL,55.0
304.05,0.02198492462311558,55720.0,1.592,1.0,0.3,309.1,EL_S,0,0,NORMAL,53.0
303.95,0.020174890693316676,51712.299999999996,1.601,1.0,0.3,309.0,EL_S,0,0,NORMAL,51.0
303.85,0.03386511965192168,64399.3,1.379,1.0,0.3,308.9,EL_S,0,0,NORMAL,49.0
303.85,0.03278576317590691,69981.9,1.461,1.0,0.3,308.9,EL_S,0,0,NORMAL,47.0
303.85,0.02838487972508591,60091.49999999999,1.455,1.0,0.3,308.9,EL_S,1,1,ROULEMENT,45.0
303.85,0.03683834048640915,71997.0,1.398,1.0,0.3,308.9,EL_S,0,0,NORMAL,253.0
303.85,0.027032810271041367,53135.799999999996,1.402,1.0,0.3,308.9,EL_S,0,0,NORMAL,251.0
303.8,0.03453287197231834,72105.5,1.445,1.0,0.9,308.8,EL_L,0,0,NORMAL,249.0
303.9,0.032758620689655175,68875.0,1.45,1.0,0.3,308.9,EL_S,0,0,NORMAL,244.0
303.9,0.02807983482450103,59282.399999999994,1.453,1.0,0.3,308.9,EL_S,0,0,NORMAL,242.0
304.0,0.027297481279782165,58906.9,1.469,1.0,0.3,309.0,EL_S,0,0,NORMAL,240.0
303.9,0.03347398030942335,67687.2,1.422,1.0,0.3,308.9,EL_S,0,0,NORMAL,238.0
304.0,0.014855875831485588,48347.200000000004,1.804,1.0,0.6,309.0,EL_M,0,0,NORMAL,236.0
304.0,0.030571030640668524,63040.4,1.436,1.0,0.9,309.0,EL_L,0,0,NORMAL,233.0
304.0,0.020595854922279794,49099.200000000004,1.544,1.0,0.3,309.0,EL_S,0,0,NORMAL,228.0
304.0,0.03185341789992953,64138.8,1.419,1.0,0.6,309.0,EL_M,0,0,NORMAL,226.0
303.9,0.0265635507733692,58736.5,1.487,1.0,0.6,308.9,EL_M,0,0,NORMAL,223.0
303.9,0.014717626925270965,45227.4,1.753,1.0,0.3,308.9,EL_S,0,0,NORMAL,220.0
303.9,0.01360655737704918,45567.0,1.83,1.0,0.3,308.9,EL_S,0,0,NORMAL,218.0
303.9,0.015691951360741172,46801.700000000004,1.727,1.0,0.6,308.9,EL_M,0,0,NORMAL,216.0
304.05,0.029655172413793104,62350.0,1.45,1.0,0.3,309.0,EL_S,0,0,NORMAL,213.0
303.95,0.01966707768187423,51741.799999999996,1.622,1.0,0.3,308.9,EL_S,0,0,NORMAL,211.0
304.0,0.038638045891931906,70522.2,1.351,1.0,0.6,309.0,EL_M,0,0,NORMAL,209.0
304.0,0.022412698412698412,55597.49999999999,1.575,1.0,0.6,309.0,EL_M,0,0,NORMAL,206.0
303.9,0.017085714285714284,52325.0,1.75,1.0,0.6,308.9,EL_M,0,0,NORMAL,203.0
303.85,0.021386527141922827,49998.3,1.529,1.0,0.3,308.8,EL_S,0,0,NORMAL,200.0
303.8,0.029152987524622455,67621.2,1.523,1.0,0.3,308.8,EL_S,0,0,NORMAL,198.0
303.85,0.013498920086393088,46300.0,1.852,1.0,0.3,308.9,EL_S,0,0,NORMAL,196.0
303.8,0.01039678553490708,41213.7,1.991,1.0,0.3,308.8,EL_S,0,0,NORMAL,194.0
303.8,0.026109324758842443,63133.0,1.555,1.0,0.3,308.8,EL_S,0,0,NORMAL,192.0
303.8,0.028105482303955587,58360.5,1.441,1.0,0.6,308.8,EL_M,0,0,NORMAL,190.0
303.75,0.02993103448275862,62930.0,1.45,1.0,0.3,308.7,EL_S,0,0,NORMAL,187.0
303.75,0.01954745443117536,49480.100000000006,1.591,1.0,0.3,308.7,EL_S,0,0,NORMAL,185.0
303.75,0.03356401384083045,70082.5,1.445,1.0,0.3,308.7,EL_S,0,0,NORMAL,183.0
303.8,0.0312625250501002,70059.59999999999,1.497,1.0,0.6,308.8,EL_M,0,0,NORMAL,181.0
303.85,0.020172732880937693,53006.700000000004,1.621,1.0,0.9,308.8,EL_L,0,0,NORMAL,178.0
303.79999999999995,0.02169211195928753,53605.200000000004,1.572,1.0,0.3,308.7,EL_S,0,0,NORMAL,173.0
303.70000000000005,0.01201923076923077,42120.0,1.872,1.0,0.3,308.6,EL_S,0,0,NORMAL,171.0
